SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy,PricePerBrick
29296,75253,1,Star Wars,Boost,2019,Droid Commander,,1177,179.99,199.99,249.99,199.99,https://images.brickset.com/sets/images/75253-1.jpg,80,1184,0.152922685
27892,42081,1,Technic,,2018,Volvo Concept Wheel Loader ZEUX,,1167,109.99,139.99,179.99,119.99,https://images.brickset.com/sets/images/42081-1.jpg,1108,892,0.094250214
27830,10263,1,Creator Expert,Winter Village,2018,Winter Village Fire Station,8,1166,84.99,99.99,129.99,89.99,https://images.brickset.com/sets/images/10263-1.jpg,4840,1909,0.072890223
26574,42066,1,Technic,,2017,Air Race Jet,,1151,109.99,159.99,189.99,119.99,https://images.brickset.com/sets/images/42066-1.jpg,1776,971,0.095560382
26486,70627,1,Ninjago,The Hands of Time,2017,Dragon's Forge,6,1137,74.99,79.99,99.99,79.99,https://images.brickset.com/sets/images/70627-1.jpg,1554,858,0.065954266
27747,66580,1,City,Product Collection,2017,Holiday Copack,,1129,,109.99,,,https://images.brickset.com/sets/images/66580-1.jpg,29,73,0
26729,21136,1,Minecraft,Minifig-scale,2017,The Ocean Monument,2,1122,119.99,119.99,139.99,119.99,https://images.brickset.com/sets/images/21136-1.jpg,596,512,0.106942959
26719,75187,1,Star Wars,The Last Jedi,2017,BB-8,1,1106,84.99,99.99,129.99,99.99,https://images.brickset.com/sets/images/75187-1.jpg,9055,1676,0.076844485
28564,4002018,1,Miscellaneous,Employee gift,2018,Employee Christmas gift,,1099,,,,,https://images.brickset.com/sets/images/4002018-1.jpg,287,155,0
26737,42068,1,Technic,,2017,Airport Rescue Vehicle,,1094,79.99,99.99,129.99,89.99,https://images.brickset.com/sets/images/42068-1.jpg,1686,961,0.073117002
28592,10266,1,Creator Expert,Space,2019,NASA Apollo 11 Lunar Lander,2,1087,84.99,99.99,139.99,89.99,https://images.brickset.com/sets/images/10266-1.jpg,3480,2088,0.078187672
26748,41239,1,DC Super Hero Girls,,2017,Eclipso Dark Palace,3,1078,99.99,99.99,129.99,99.99,https://images.brickset.com/sets/images/41239-1.jpg,556,349,0.092755102
29562,21319,1,Ideas,Licensed,2019,Friends Central Perk,,1070,64.99,59.99,,59.99,https://images.brickset.com/sets/images/21319-1.jpg,11,857,0.060738318
28389,70670,1,Ninjago,Legacy,2019,Monastery of Spinjitzu,8,1070,79.99,79.99,99.99,79.99,https://images.brickset.com/sets/images/70670-1.jpg,801,994,0.074757009
28331,75251,1,Star Wars,Miscellaneous,2019,Darth Vader's Castle,6,1060,119.99,129.99,149.99,129.99,https://images.brickset.com/sets/images/75251-1.jpg,2271,2058,0.113198113
29290,60229,1,City,Space,2019, Rocket Assembly &Transport,8,1055,119.99,149.99,199.99,129.99,https://images.brickset.com/sets/images/60229-1.jpg,237,1387,0.113734597
26698,70916,1,The LEGO Batman Movie,,2017,The Batwing,3,1053,99.99,89.99,109.99,89.99,https://images.brickset.com/sets/images/70916-1.jpg,2938,1604,0.094957265
26582,70909,1,The LEGO Batman Movie,,2017,Batcave Break-In,7,1047,109.99,99.99,129.99,69.99,https://images.brickset.com/sets/images/70909-1.jpg,4831,1476,0.105052531
29059,76122,1,DC Comics Super Heroes,Batman,2019,Batcave Clayface Invasion,,1038,94.99,99.99,139.99,99.99,https://images.brickset.com/sets/images/76122-1.jpg,117,1060,0.091512524
28452,70828,1,The Lego Movie 2: The Second Part,,2019,Pop-Up Party Bus,4,1024,79.99,79.99,99.99,89.99,https://images.brickset.com/sets/images/70828-1.jpg,1063,829,0.078115234
28590,10269,1,Creator Expert,Vehicles,2019,Harley-Davidson Fat Boy,,1023,84.99,99.99,139.99,89.99,https://images.brickset.com/sets/images/10269-1.jpg,472,1526,0.083079179
27693,42076,1,Technic,,2018,Hovercraft,,1020,59.99,89.99,109.99,69.99,https://images.brickset.com/sets/images/42076-1.jpg,823,492,0.058813725
27444,75930,1,Jurassic World,Fallen Kingdom,2018,Indoraptor Rampage at Lockwood Estate,6,1019,119.99,129.99,149.99,129.99,https://images.brickset.com/sets/images/75930-1.jpg,1794,1152,0.117752699
27908,41347,1,Friends,,2018,Heartlake City Resort,4,1017,89.99,99.99,129.99,99.99,https://images.brickset.com/sets/images/41347-1.jpg,661,390,0.088485742
29026,75243,1,Star Wars,Episode V,2019,Slave I – 20th Anniversary Edition,6,1007,109.99,119.99,159.99,119.99,https://images.brickset.com/sets/images/75243-1.jpg,2621,2507,0.109225422
27691,42077,1,Technic,,2018,Rally Car,,1005,89.99,109.99,139.99,99.99,https://images.brickset.com/sets/images/42077-1.jpg,2108,1005,0.089542289
27439,76108,1,Marvel Super Heroes,Avengers: Infinity War,2018,Sanctum Sanctorum Showdown,5,1004,89.99,99.99,129.99,99.99,https://images.brickset.com/sets/images/76108-1.jpg,5462,2238,0.089631474
27891,42080,1,Technic,,2018,Forest Harvester,,1003,119.99,149.99,179.99,129.99,https://images.brickset.com/sets/images/42080-1.jpg,920,776,0.119631107
29082,70838,1,The Lego Movie 2: The Second Part,,2019,Queen Watevra's ‘So-Not-Evil' Space Palace,5,995,94.99,99.99,139.99,99.99,https://images.brickset.com/sets/images/70838-1.jpg,389,719,0.095467337
29048,31097,1,Creator,,2019,Townhouse Pet Shop & Café,3,969,74.99,79.99,99.99,79.99,https://images.brickset.com/sets/images/31097-1.jpg,340,1795,0.077389061
27802,21313,1,Ideas,,2018,Ship in a Bottle,,962,69.99,69.99,89.99,69.99,https://images.brickset.com/sets/images/21313-1.jpg,7702,2373,0.072754678
